euroc/MH01
parameter,setting,mean,min

FAST Threshold,5,239.5,41
FAST Threshold,10,239.5,41
FAST Threshold,20,239.5,41
FAST Threshold,40,239.4,39

Number of features,500,239.5,41
Number of features,1000,459.9,68
Number of features,2000,871.7,128
Number of features,3000,1247.2,159

Number of levels,4,238.7,19
Number of levels,8,239.5,41
Number of levels,12,233.9,43
Number of levels,16,220.2,41

Scale factor,1.1,211.5,18
Scale factor,1.2,239.5,41
Scale factor,1.3,247.8,38
Scale factor,1.4,236.8,47

Patch size,6,156.9,78
Patch size,12,174.7,49
Patch size,24,222.8,50
Patch size,48,273.7,47


euroc/MH02
parameter,setting,mean,min

FAST Threshold,5,223.3,45
FAST Threshold,10,223.3,45
FAST Threshold,20,223.3,45
FAST Threshold,40,222.8,27

Number of features,500,223.3,45
Number of features,1000,427.3,74
Number of features,2000,804.5,125
Number of features,3000,1147.8,125

Number of levels,4,222.9,28
Number of levels,8,223.3,45
Number of levels,12,219.8,53
Number of levels,16,207.4,50

Scale factor,1.1,195.2,17
Scale factor,1.2,223.3,45
Scale factor,1.3,234.0,46
Scale factor,1.4,222.8,55

Patch size,6,144.4,72
Patch size,12,161.3,61
Patch size,24,207.9,57
Patch size,48,258.0,47


euroc/MH03
parameter,setting,mean,min

FAST Threshold,5,218.9,37
FAST Threshold,10,218.9,37
FAST Threshold,20,218.8,37
FAST Threshold,40,215.4,38

Number of features,500,218.8,37
Number of features,1000,415.0,74
Number of features,2000,761.0,118
Number of features,3000,1055.3,174

Number of levels,4,216.0,30
Number of levels,8,218.8,37
Number of levels,12,213.7,42
Number of levels,16,201.5,41

Scale factor,1.1,189.6,23
Scale factor,1.2,218.8,37
Scale factor,1.3,228.4,46
Scale factor,1.4,218.7,45

Patch size,6,148.0,66
Patch size,12,163.5,59
Patch size,24,206.7,44
Patch size,48,251.9,41


euroc/MH04
parameter,setting,mean,min

FAST Threshold,5,221.1,32
FAST Threshold,10,221.1,32
FAST Threshold,20,220.5,21
FAST Threshold,40,208.9,5

Number of features,500,220.5,21
Number of features,1000,407.9,23
Number of features,2000,712.7,23
Number of features,3000,951.1,23

Number of levels,4,216.6,9
Number of levels,8,220.5,21
Number of levels,12,214.7,24
Number of levels,16,202.7,25

Scale factor,1.1,192.1,25
Scale factor,1.2,220.5,21
